id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
282,141,283,109,17,57419000,1882,4,0,36
283,141,282,17,109,42580000,4314,7,10,43
284,142,285,109,77,19630000,3613,8,0,42
285,142,284,77,109,80369000,2782,3,0,76
286,143,287,87,115,97239000,4672,2,0,38
287,143,286,115,87,2760000,4765,4,10,55
288,144,289,54,116,64701000,1122,3,0,98
289,144,288,116,54,35299000,1053,2,0,72
290,145,291,117,4,62096000,4006,6,10,52
291,145,290,4,117,37903000,3350,4,0,62
292,146,293,118,119,23976000,3872,1,0,35
293,146,292,119,118,76022000,4765,5,10,50
294,147,295,54,120,23582000,4142,8,10,18
295,147,294,120,54,76418000,4808,5,0,57
296,148,297,121,46,40506000,3223,6,0,64
297,148,296,46,121,59495000,4209,7,0,35
298,149,299,122,87,39988000,4286,3,0,14
299,149,298,87,122,60013000,3690,2,10,68
300,150,301,9,109,84238000,4269,6,0,68
301,150,300,109,9,15762000,4560,6,0,14
302,151,303,123,4,90734000,1079,6,0,42
303,151,302,4,123,9265000,3479,3,0,39
304,152,305,116,109,75111000,3281,7,0,63
305,152,304,109,116,24888000,2608,1,100,99
306,153,307,87,124,87566000,3979,4,0,91
307,153,306,124,87,12434000,2476,2,10,48
308,154,309,87,125,55787000,3483,4,0,90
309,154,308,125,87,44214000,1457,2,0,87
310,155,311,46,126,92256000,2534,7,0,15
311,155,310,126,46,7745000,4585,9,1000,30
312,156,313,127,46,19449000,1498,9,0,18
313,156,312,46,127,80551000,3697,7,0,64
314,157,315,54,127,15921000,4434,5,0,31
315,157,314,127,54,84080000,3695,2,0,73
316,158,317,127,46,87055000,2276,7,0,74
317,158,316,46,127,12946000,4857,7,100,11
318,159,319,127,46,33130000,2814,2,1000,11
319,159,318,46,127,66869000,3140,8,10,48
320,160,321,127,46,11906000,2564,5,0,26
321,160,320,46,127,88093000,2458,9,10,28
322,161,323,115,128,72580000,1204,9,10,48
323,161,322,128,115,27419000,1062,8,0,12
324,162,325,46,109,82097000,4700,5,0,91
325,162,324,109,46,17904000,4292,2,0,83
326,163,327,127,115,99620000,4018,2,0,41
327,163,326,115,127,381000,2409,5,0,82
328,164,329,58,129,72717000,3085,6,10,94
329,164,328,129,58,27281000,2792,1,0,40
330,165,331,54,33,76510000,2809,5,0,99
331,165,330,33,54,23490000,2455,6,0,32
332,166,333,129,130,34308000,2771,6,0,50
333,166,332,130,129,65691000,4431,7,10,41
334,167,335,40,108,52688000,2924,3,10,50
335,167,334,108,40,47311000,2989,8,0,41
336,168,337,131,8,40464000,4629,5,0,24
337,168,336,8,131,59535000,3008,3,100,69
338,169,339,132,2,1548000,1067,3,0,56
339,169,338,2,132,98452000,1957,8,1000,46
340,170,341,46,24,32623000,3359,5,0,67
341,170,340,24,46,67377000,2729,3,0,44
342,171,343,115,108,33380000,1823,7,0,36
343,171,342,108,115,66618000,4817,9,10,17
344,172,345,76,77,5838000,3216,5,0,38
345,172,344,77,76,94160000,4299,6,10,92
346,173,347,24,75,74138000,2388,4,0,10
347,173,346,75,24,25863000,2179,8,100,17
348,174,349,33,77,28889000,3626,6,0,60
349,174,348,77,33,71113000,1039,1,10,29
350,175,351,46,33,43857000,3288,7,0,19
351,175,350,33,46,56142000,3599,8,10,40
352,176,353,54,133,80531000,2594,1,0,16
353,176,352,133,54,19468000,2111,7,0,43
354,177,355,46,93,88392000,3583,8,0,87
355,177,354,93,46,11606000,3471,7,0,45
356,178,357,54,131,87328000,3573,4,0,81
357,178,356,131,54,12671000,4395,4,0,84
358,179,359,134,24,78398000,1772,5,10,14
359,179,358,24,134,21600000,1683,9,0,39
360,180,361,134,46,66557000,4783,1,0,74
361,180,360,46,134,33441000,2797,3,0,34
362,181,363,54,129,15177000,2229,3,10,70
363,181,362,129,54,84824000,2177,3,0,91
364,182,365,87,135,7119000,2970,2,0,59
365,182,364,135,87,92881000,4461,1,0,77
366,183,367,136,10,25223000,3978,5,10,13
367,183,366,10,136,74776000,1837,3,10,16
368,184,369,136,109,38441000,2563,5,0,34
369,184,368,109,136,61558000,4994,6,0,12
370,185,371,87,137,46752000,2147,4,0,99
371,185,370,137,87,53247000,3241,1,0,80
372,186,373,10,108,10923000,3685,1,0,36
373,186,372,108,10,89076000,2747,3,0,86
374,187,375,4,108,50878000,2002,8,0,99
375,187,374,108,4,49123000,4474,1,10,24
376,188,377,40,108,68018000,3099,1,0,73
377,188,376,108,40,31982000,4959,1,0,30
378,189,379,24,108,41026000,3294,3,0,34
379,189,378,108,24,58973000,2760,2,1000,21
380,190,381,87,108,5395000,4688,1,0,66
381,190,380,108,87,94602000,2801,1,100,85
382,191,383,10,108,63357000,1750,6,0,61
383,191,382,108,10,36641000,2185,2,10,51
384,192,385,138,33,10652000,3409,1,0,73
385,192,384,33,138,89348000,2145,7,1000,48
386,193,387,54,139,92506000,1673,9,0,22
387,193,386,139,54,7494000,2879,7,0,87
388,194,389,54,24,55817000,3017,2,10,72
389,194,388,24,54,44182000,1307,7,10,81
390,195,391,24,77,67088000,3880,2,0,74
391,195,390,77,24,32912000,1659,3,1000,40
392,196,393,54,140,42047000,4529,2,10,18
393,196,392,140,54,57951000,1492,5,0,10
394,197,395,46,137,1150000,2619,8,100,93
395,197,394,137,46,98850000,3392,5,0,97
396,198,397,141,49,89931000,1462,9,0,55
397,198,396,49,141,10069000,4755,7,0,11
398,199,399,54,142,81086000,4666,4,0,65
399,199,398,142,54,18913000,1648,8,0,13
400,200,401,54,143,13949000,2551,9,0,60
401,200,400,143,54,86051000,2233,8,10,28
402,201,403,87,144,47199000,4074,5,0,86
403,201,402,144,87,52801000,2880,3,1000,74
404,202,405,54,144,4717000,4313,3,0,87
405,202,404,144,54,95281000,1428,4,0,36
406,203,407,46,145,20876000,1030,3,100,71
407,203,406,145,46,79123000,1401,5,0,16
408,204,409,43,119,71815000,4495,9,10,28
409,204,408,119,43,28184000,2941,2,0,52
410,205,411,139,58,23170000,1400,7,10,10
411,205,410,58,139,76828000,2140,3,0,24
412,206,413,54,107,35462000,1377,8,10,50
413,206,412,107,54,64537000,3647,7,0,35
414,207,415,146,87,34005000,1556,9,1000,74
415,207,414,87,146,65995000,2517,5,0,88
416,208,417,147,2,81944000,2005,5,0,20
417,208,416,2,147,18055000,4954,6,0,15
418,209,419,148,63,66001000,3874,7,0,35
419,209,418,63,148,33997000,4383,4,0,97
420,210,421,148,63,35845000,1506,5,0,14
421,210,420,63,148,64154000,1505,7,0,10
422,211,423,148,63,74015000,4364,1,0,77
423,211,422,63,148,25984000,4433,3,0,44
424,212,425,148,63,46500000,3896,3,10,61
425,212,424,63,148,53498000,4713,7,1000,81
426,213,427,148,63,39306000,4379,9,0,77
427,213,426,63,148,60694000,2331,6,0,73
428,214,429,148,63,91623000,3708,9,0,47
429,214,428,63,148,8377000,1253,6,0,64
430,215,431,54,149,36731000,4376,4,0,77
431,215,430,149,54,63268000,2315,6,0,56
432,216,433,87,149,382000,3394,9,0,47
433,216,432,149,87,99617000,4206,5,0,53
434,217,435,149,130,46473000,2520,5,0,25
435,217,434,130,149,53525000,1624,9,0,25
436,218,437,46,149,12470000,1354,3,0,32
437,218,436,149,46,87531000,1815,2,1000,18
438,219,439,2,150,33470000,2652,3,0,63
439,219,438,150,2,66530000,1534,8,0,53
440,220,441,40,151,24287000,4199,9,0,29
441,220,440,151,40,75712000,3186,7,100,69
442,221,443,87,152,86972000,4914,4,100,74
443,221,442,152,87,13029000,4235,7,0,86
444,222,445,130,108,44937000,2168,5,0,54
445,222,444,108,130,55062000,4640,5,10,11
446,223,447,87,108,57860000,2388,6,1000,17
447,223,446,108,87,42140000,1040,1,0,87
448,224,449,8,108,93407000,4250,1,10,65
449,224,448,108,8,6592000,1027,4,0,32
450,225,451,40,108,13562000,2208,7,10,75
451,225,450,108,40,86436000,1720,2,0,67
452,226,453,33,108,18045000,1712,2,0,51
453,226,452,108,33,81954000,2171,8,0,44
454,227,455,108,1,97164000,3194,2,0,23
455,227,454,1,108,2835000,2747,6,0,33
456,228,457,22,153,80337000,2673,8,0,67
457,228,456,153,22,19664000,3534,2,10,16
458,229,459,123,130,85150000,3487,7,1000,11
459,229,458,130,123,14849000,3072,9,10,72
460,230,461,54,154,94444000,2587,3,0,81
461,230,460,154,54,5555000,3562,8,0,90
462,231,463,54,155,76501000,4572,7,0,26
463,231,462,155,54,23499000,2098,6,0,11
464,232,465,24,108,88737000,3682,6,0,30
465,232,464,108,24,11261000,2594,7,0,15
466,233,467,139,108,4748000,4315,1,0,92
467,233,466,108,139,95251000,2566,4,0,37
468,234,469,46,45,97249000,4763,7,1000,75
469,234,468,45,46,2749000,4070,7,0,44
470,235,471,156,48,64791000,2073,4,0,30
471,235,470,48,156,35210000,1968,3,0,29
472,236,473,10,108,93449000,4780,9,0,99
473,236,472,108,10,6550000,1035,1,0,66
474,237,475,157,116,735000,1846,6,10,51
475,237,474,116,157,99267000,1294,7,0,98
476,238,477,40,108,80654000,1558,9,0,32
477,238,476,108,40,19345000,1513,1,0,62
478,239,479,158,130,3876000,4467,7,0,70
479,239,478,130,158,96123000,4768,9,10,23
480,240,481,46,158,54356000,3098,1,0,32
481,240,480,158,46,45645000,1168,6,10,36
482,241,483,159,58,94472000,4184,3,0,42
483,241,482,58,159,5526000,4890,9,10,92
484,242,485,160,161,67377000,4039,1,0,27
485,242,484,161,160,32623000,2167,8,0,84
486,243,487,2,162,49578000,4684,2,0,29
487,243,486,162,2,50422000,4749,7,0,14
488,244,489,54,163,45670000,1432,8,10,79
489,244,488,163,54,54329000,3962,7,0,82
490,245,491,33,128,39941000,3381,7,0,73
491,245,490,128,33,60060000,2383,7,1000,52
492,246,493,54,164,49990000,1490,8,0,55
493,246,492,164,54,50010000,3432,2,0,41
494,247,495,165,24,23173000,1149,9,100,82
495,247,494,24,165,76828000,4460,9,0,56
496,248,497,54,166,8347000,1154,8,0,96
497,248,496,166,54,91651000,2687,4,10,93
498,249,499,54,164,34080000,4554,7,100,18
499,249,498,164,54,65919000,4384,6,10,65
500,250,501,150,162,30595000,2327,5,10,33
501,250,500,162,150,69404000,1807,5,1000,59
502,251,503,54,167,21253000,3722,3,0,90
503,251,502,167,54,78747000,1211,9,100,27
504,252,505,10,108,40823000,3138,6,0,66
505,252,504,108,10,59176000,3482,7,0,74
506,253,507,139,108,98642000,4026,2,0,73
507,253,506,108,139,1356000,1030,4,0,13
508,254,509,49,119,77648000,1024,4,0,15
509,254,508,119,49,22349000,2181,2,0,85
510,255,511,60,108,62817000,4413,3,0,43
511,255,510,108,60,37182000,3085,9,0,54
512,256,513,43,108,36615000,1222,9,0,23
513,256,512,108,43,63384000,1635,5,100,40
514,257,515,46,165,29235000,3265,6,0,75
515,257,514,165,46,70763000,1422,6,0,35
516,258,517,168,8,74487000,1428,9,10,30
517,258,516,8,168,25512000,3674,6,0,64
518,259,519,13,63,28036000,2537,2,10,69
519,259,518,63,13,71963000,3561,2,0,27
520,260,521,150,40,93806000,1547,4,0,30
521,260,520,40,150,6193000,2462,1,0,83
522,261,523,169,109,55639000,3039,8,0,48
523,261,522,109,169,44361000,1205,1,0,29
524,262,525,54,108,19387000,1637,2,10,99
525,262,524,108,54,80614000,4232,6,100,47
526,263,527,8,108,52763000,4475,7,0,87
527,263,526,108,8,47237000,4380,7,0,73
528,264,529,58,108,84611000,2275,3,0,99
529,264,528,108,58,15388000,1145,8,0,72
530,265,531,170,150,37602000,4589,9,0,19
531,265,530,150,170,62397000,1753,7,0,64
532,266,533,24,171,57253000,1061,6,0,89
533,266,532,171,24,42746000,3950,3,0,21
534,267,535,170,58,12153000,2111,6,0,87
535,267,534,58,170,87847000,2172,9,0,41
536,268,537,54,172,13733000,4073,1,10,11
537,268,536,172,54,86267000,1688,2,0,30
538,269,539,46,173,28327000,1735,4,10,37
539,269,538,173,46,71673000,3916,9,100,18
540,270,541,174,54,54562000,3054,8,0,38
541,270,540,54,174,45437000,3385,4,0,37
542,271,543,174,16,87411000,3939,4,100,74
543,271,542,16,174,12588000,1728,6,0,52
544,272,545,175,8,73814000,4064,6,0,35
545,272,544,8,175,26186000,4175,8,10,58
546,273,547,87,176,93654000,3233,1,10,87
547,273,546,176,87,6345000,3598,8,0,73
548,274,549,95,177,35256000,1065,2,0,59
549,274,548,177,95,64744000,2168,9,0,29
550,275,551,54,178,99636000,3773,3,0,48
551,275,550,178,54,362000,1368,3,0,99
552,276,553,33,179,62243000,1218,8,10,89
553,276,552,179,33,37756000,3104,7,0,95
554,277,555,115,180,21087000,3164,6,0,66
555,277,554,180,115,78912000,2893,8,1000,21
556,278,557,128,40,66483000,1907,8,0,13
557,278,556,40,128,33517000,1938,4,0,37
558,279,559,181,130,43146000,2696,3,0,46
559,279,558,130,181,56855000,2333,3,0,16
560,280,561,54,182,25461000,1393,7,0,81
561,280,560,182,54,74539000,4059,7,0,57
562,281,563,150,183,86006000,1470,1,10,74
563,281,562,183,150,13993000,4654,3,10,42
564,282,565,184,185,5404000,4762,1,0,37
565,282,564,185,184,94596000,4625,8,0,24
566,283,567,160,186,28119000,2128,6,10,30
567,283,566,186,160,71883000,3953,9,0,47
568,284,569,24,60,84437000,4090,3,100,24
569,284,568,60,24,15560000,3185,8,0,75
570,285,571,54,187,90303000,4348,4,0,78
571,285,570,187,54,9699000,4537,3,0,12
572,286,573,54,188,20393000,3882,6,1000,22
573,286,572,188,54,79607000,2976,4,0,79
574,287,575,58,189,88072000,3180,2,0,38
575,287,574,189,58,11928000,2560,2,0,87
576,288,577,130,190,88325000,1251,1,0,28
577,288,576,190,130,11674000,3143,2,0,89
578,289,579,54,191,99667000,3245,9,0,98
579,289,578,191,54,333000,4805,9,0,81
580,290,581,58,192,67770000,2548,2,0,63
581,290,580,192,58,32230000,1423,4,0,71
582,291,583,54,193,41462000,2789,4,0,54
583,291,582,193,54,58539000,2014,1,10,58
584,292,585,165,4,16354000,3288,8,0,49
585,292,584,4,165,83645000,2804,9,10,49
586,293,587,2,194,34225000,3372,9,0,94
587,293,586,194,2,65774000,1360,8,0,82
588,294,589,63,194,64000000,4880,9,10,14
589,294,588,194,63,36000000,4211,4,100,23
590,295,591,194,40,91059000,2246,9,0,73
591,295,590,40,194,8942000,1328,1,0,27
592,296,593,95,195,94788000,4947,7,0,24
593,296,592,195,95,5211000,1767,3,0,50
594,297,595,128,1,84680000,2627,9,0,33
595,297,594,1,128,15318000,3136,9,10,88
596,298,597,100,115,52953000,2304,6,0,90
597,298,596,115,100,47046000,2335,3,0,40
598,299,599,156,77,67195000,1911,5,0,90
599,299,598,77,156,32806000,4298,9,0,45
600,300,601,54,196,84924000,1591,3,0,18
601,300,600,196,54,15076000,4877,1,0,17
602,301,603,46,145,4755000,3685,2,10,45
